pseudoID,factor_1,factor_2,factor_2a,factor_3,factor_4,factor_5,factor_5a,factor_6,factor_7,factor_8,factor_9,allRaces,race,sex,psa_court_case_eligible_booking,psa_outcome_eligible,fta_points,nca_points,nvca_points,fta_score,nca_score,nvca_score,nvca_flag,fta,nca,nvca,time_at_risk_fta,time_at_risk_nca,time_at_risk_nvca_new,race1,sex1,release
422315404,0,0,0,0,1,1,1,1,0,0,1,Black,Non-white,Male,1,Released,1,5,2,2,4,2,0,0.0,1.0,0.0,49.0,12.0,49.0,0,1,1
4541366812,0,0,0,1,0,0,0,0,0,1,0,White,White,Male,1,Released,2,3,1,3,3,1,0,1.0,1.0,0.0,280.0,249.0,538.0,1,1,1
6605983106,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,49.0,49.0,49.0,0,1,1
7040594555,1,0,0,1,0,0,0,0,2,0,0,Black,Non-white,Male,1,Released,5,7,1,5,5,1,0,1.0,1.0,0.0,102.0,23.0,348.0,0,1,1
8207397954,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,539.0,539.0,539.0,0,1,1
7207534114,0,0,0,1,1,1,1,0,2,1,1,Black,Non-white,Male,1,Released,7,9,2,6,6,2,0,1.0,1.0,0.0,122.0,24.0,443.0,0,1,1
196583031,0,0,0,0,1,0,1,1,0,0,0,Black,Non-white,Male,1,Released,1,2,2,2,2,2,0,1.0,1.0,0.0,210.0,92.0,245.0,0,1,1
5600829670,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,421.0,421.0,421.0,0,0,1
4290032764,0,0,0,0,0,0,1,0,0,1,0,Black,Non-white,Male,1,Released,2,0,1,3,1,1,0,0.0,0.0,0.0,,,,0,1,1
7290320794,0,0,0,0,1,1,1,2,0,1,1,Black,Non-white,Male,1,Detained,2,5,2,3,4,2,0,,,,,,,0,1,0
7921681670,0,0,0,0,1,1,1,2,2,0,1,Black,Non-white,Male,1,Detained,5,7,2,5,5,2,0,,,,,,,0,1,0
2130638227,0,0,0,1,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,1,3,1,2,3,1,0,,,,,,,0,1,0
1733220909,0,1,0,0,1,0,1,0,0,0,0,White,White,Female,1,Released,1,1,3,2,2,3,0,1.0,0.0,0.0,507.0,512.0,512.0,1,0,1
2878666799,1,0,0,1,1,0,1,1,2,0,1,Black,Non-white,Male,1,Detained,6,11,3,5,6,3,0,,,,,,,0,1,0
1284502774,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,538.0,538.0,538.0,0,0,1
951857725,0,0,0,0,1,1,1,2,2,0,1,Black,Non-white,Male,1,Detained,5,7,2,5,5,2,0,,,,,,,0,1,0
5811999675,0,1,0,0,1,1,1,2,0,1,1,Black,Non-white,Male,1,Released,2,5,4,3,4,4,1,0.0,0.0,0.0,126.0,126.0,126.0,0,1,1
8258827510,0,0,0,0,1,1,1,0,2,1,0,Black,Non-white,Female,1,Released,6,4,1,5,3,1,0,0.0,1.0,0.0,525.0,10.0,525.0,0,0,1
45918266,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,0,1,1,1,0,,,,,,,0,1,0
6683469736,0,0,0,1,1,1,1,1,0,1,0,Black,Non-white,Male,1,Detained,3,6,3,4,4,3,0,,,,,,,0,1,0
4648249475,0,1,0,0,0,0,0,0,1,0,0,White,White,Male,1,Released,2,1,2,3,2,2,0,0.0,0.0,0.0,,,,1,1,1
1299607335,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,0,1,1,1,0,,,,,,,0,1,0
7880289173,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,0,1,1,1,0,,,,,,,0,1,0
